title,authors,isbn,quantity,checkedOut
Star Darlings Cassie Comes Through,"['Shana Muldoon Zappa', 'Ahmet Zappa']",9781484714331,1,0
Star Darlings Clover's Parent Fix,"['Shana Muldoon Zappa', 'Ahmet Zappa']",9781484714300,1,0
Star Darlings Collection: Volume 1,"['Shana Muldoon Zappa', '']",9781368001113,1,0
Star Darlings Piper's Perfect Dream,"['Shana Muldoon Zappa', 'Ahmet Zappa']",9781484714348,1,0
Star Darlings Vega and the Fashion Disaster,"['Shana Muldoon Zappa', 'Ahmet Zappa']",9781484713075,1,0
Stink,"['Megan McDonald', 'Peter Reynolds']",9780763628918,1,0
Superfudge,"['Judy Blume', '']",9780142408803,2,0
Supergifted,"['Gordon Korman', '']",9781338557824,1,0
Surprises According to Humphrey,"['Betty G. Birney', '']",9780142412961,1,0
Sweet Treats & Secret Crushes,"['Lisa Greenwald', '']",9780545231497,1,0
Swim Team,"['Johnnie Christmas', '']",9780063056763,1,0
Tales from a Not-so-happy Heartbreaker,"['Rachel Renée Russell', 'Nikki Russell']",1000000000015,1,0
Tales of a Fourth Grade Nothing,"['Judy Blume', '']",9780525469315,6,0
Talking to Dragons,"['Patricia C. Wrede', '']",9780544541481,1,0
The 39 Clues,"['Rick Riordan', '']",9781407171623,1,0
The 39 Clues: The Sword Thief,"['Peter Lerangis', '']",9780545060431,1,0
The Absolutely True Diary of a Part-Time Indian,"['Sherman Alexie', '']",9780316013697,1,0
The Baby-Sitter's Club: Kristy's Great Idea,"['Ann M. Martin', '']",9780545813877,1,0
The Baby-Sitters Club: Stacy's Secret Friend,"['Ann M. Martin', '']",590059890,1,0
The Bad Guys,"['Aaron Blabey', '']",9781338329506,1,0
The Battle of the Labyrinth,"['Rick Riordan', '']",9780141919140,1,0
The Best Halloween Ever,"['Barbara Robinson', '']",9780060278625,1,0
The Birchbark House,"['Louise Erdrich', '']",9780063064188,1,0
The Book Report from the Black Lagoon,"['Mike Thaler', '']",9780545290463,2,0
The Boy with the Biggest Head in the World,"['Lincoln Peirce', '']",9780007355167,1,0
The Candy Smash,"['Jacqueline Davies', '']",9780544225008,3,0
The Candy Smash,"['Jacqueline Davies', '']",9780544022089,1,0
The Case of the Groaning Ghost,"['James Preller', '']",9780439896245,1,0
The Chronicles of Narnia: Prince Caspian,"['C.S. Lewis', '']",9780064471053,1,0
The Chronicles of Narnia: The Horse and His Boy,"['C.S. Lewis', '']",9780064471060,1,0
The Chronicles of Narnia: The Last Battle,"['C.S. Lewis', '']",9780064471084,1,0
"The Chronicles of Narnia: The Lion, The Witch, and the Wardrobe""","['C.S. Lewis', '']",9780064471046,1,0
The Chronicles of Narnia: The Magician's Nephew,"['C.S. Lewis', '']",9780064471107,1,0
The Chronicles of Narnia: The Silver Chair,"['C.S. Lewis', '']",978064471091,1,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,"['C.S. Lewis', '']",9780064471077,1,0
The City of Ember,"['Jeanne DuPrau', '']",9780375822742,1,0
The Crossover,"['Kwame Alexander', '']",9780544107717,1,0
The Empty Envelope,"['Ron Roy', '']",0439052025,1,0
The Ghosts of Tupelo Landing,"['Sheila Turnage', '']",9780803736719,1,0
The Girl Who Was On Fire,"['Leah Wilson', '']",1000000000016,1,0
The Giver,"['Lois Lowry', '']",9780547424774,1,0
The Gorillas of Gill Park,"['Amy Gordon', '']",9780439643122,1,0
The Great Mouse Detective: Basil and the Cave of Cats,"['Eve Titus', '']",9781481464048,1,0
The Great Mouse Detective: Basil of Baker Street,"['Eve Titus', '']",9781481464024,1,0
The Hidden Girl: A true story of the Holocaust,"['Lola Rein Kaufman and Lois Metzger', '']",1000000000017,1,0
The Homework Machine,"['Dan Gutman', '']",9780545138888,1,0
The Homework Strike,"['Greg Pincus', '']",9780439913027,1,0
The Hunger Games,"['Suzanne Collins', '']",9781407153339,1,0
The Hunger Games Tribute Guide,"['Emily Seife', '']",9780545457828,1,0
The Kids of Einstein Elementary: The Last Dinosaur,"['Len Mlodinow and Matt Costello', '']",1000000000018,1,0
The Kind of Friends We Used to be,"[""Frances O'Roark Dowell"", '']",9781416997795,1,0
The Land of Stories the Wishing Spell,"['Chris Colfer', '']",9781405517911,1,0
The Land of Stories: The Enchantress Returns,"['Chris Colfer', '']",9780316201551,1,0
The Last Kids on Earth,"['Max Brallier', '']",9781338039139,1,0
The Last Kids on Earth and the Nightmare King,"['Max Brallier', '']",9781338261363,1,0
The Last Kids on Earth and the Zombie Parade,"['Max Brallier', '']",9780670016624,1,0
The Last of the Really Great Whangdoodles 30th Anniversary Edition,"['Julie Andrews Edwards', '']",9780064403146,1,0
The Last Olympian,"['Rick Riordan', '']",9780141962306,1,0
The Legend of Diamond Lil,"['Doreen Cronin', '']",9780061779961,1,0
The Lightning Thief,"['Rick Riordan', '']",9781423140344,1,0
"The Lion, the Witch and the Wardrobe""","['Clive Staples Lewis', '']",9780545945783,1,0
The Lost Hero,"['Rick Riordan', '']",9781423113461,1,0
The Magic School Bus Rides Again: Sink or Swim,"['Judy Katshke', '']",1000000000019,1,0
The Meanest Doll in the World,"['Laura Godwin', 'Ann M. M. Martin']",9780786852970,1,0
The Monster's Ring,"['Bruce Coville', '']",9780689856921,1,0
The Mouse and the Motorcycle,"['Beverly Cleary', '']",9780064410045,1,0
The Notebook of Doom: Attack of the Shadow Smashers,"['Troy Cummings', '']",9780545552974,1,0
The Notebook of Doom: Rise of the Balloon Goons,"['Troy Cummings', '']",9780545493260,1,0
The One and Only Bob,"['Katherine Applegate', '']",9780062991324,1,0
The One and Only Ivan,"['Katherine Applegate', '']",9780007455331,1,0
The Phantom Tollbooth,"['Norton Juster', '']",9780394820378,1,0
The Princess in Black,"['Shannon Hale', 'Dean Hale']",9780763696368,1,0
The Puppy Place: Cody,"['Ellen Miles', '']",9780545324540,1,0
The Puppy Place: Cooper,"['Ellen Miles', '']",9780545603829,1,0
The Puppy Place: Flash,"['Ellen Miles', '']",9780545324434,1,0
The Puppy Place: Goldie,"['Ellen Miles', '']",9780545415200,1,0
The Puppy Place: Princess #12,"['Ellen Miles', '']",9780545102377,2,0
The Sea of Monsters,"['Rick Riordan', '']",9781423131960,1,0
The Secret Garden,"['Frances Hodgson Burnett', 'Margaret DeKeyser']",9780064401883,1,0
The Secret Zoo,"['Bryan Chick', '']",9780061987519,1,0
The Snow Day from the Black Lagoon,"['Mike Thaler', '']",9780545548304,1,0
The Tale of Despereaux,"['Kate DiCamillo', '']",9780763649432,1,0
The Terrible Two,"['Mac Barnett', 'Jory John']",9781338262193,1,0
The Titan's Curse,"['Rick Riordan', '']",9781423190318,1,0
The Unteachables,"['Gordon Korman', '']",9780062563910,1,0
The Valentine's Day Disaster,"['Brandi Dougherty', '']",9780545031684,1,0
The Wild Robot,"['Peter Brown', '']",9780316382014,1,0
The Wind in the Willows,"['Kenneth Grahame', '']",9780312148263,1,0
The Wish Stealers,"['Tracy Trivas', '']",9781416987260,1,0
The Word Eater,"['Mary Amato', '']",9780823426799,1,0
The World According to Humphrey,"['Betty G. Birney', '']",9780142403525,1,0
Third Grade Mermaid,"['Peter Raymundo', '']",9780545918169,1,0
Three Good Deeds,"['Vivian Vande Velde', '']",9780152054557,1,0
Three Keys,"['Kelly Yang', '']",9781338591385,1,0
Three Times Lucky,"['Sheila Turnage', '']",9780803736702,1,0
Tongue twisters,"['Highlights', '']",9781644729366,1,0
Top 10 for Kids Nature,"['Paul Terry', '']",9781770855632,1,0
Torn,"['Margaret Peterson Haddix', '']",9781416989813,1,0
Touch Blue,"['Cynthia Lord', '']",9780545035323,1,0
Ungifted,"['Gordon Korman', '']",9780061742675,2,0
Unicorn Academy: Sophia and Rainbow,"['Julie Sykes', '']",9781984850829,1,0
Unschooled,"['Allan Woodrow', '']",9781338229998,1,0
Violet in Bloom,"['Lauren Myracle', '']",9781613120224,1,0
War Horse,"['Michael Morpurgo', '']",9780439796644,1,0
Warm Hearts Day: A Branches Book (Owl Diaries #5),"['Rebecca Elliott', '']",9781484497500,1,0
Ways to Make Sunshine,"['Renée Watson', '']",9781547606658,1,0
What Was the Age of the Dinosaurs?,"['Megan Stine', 'Who HQ']",9780451532640,1,0
What Was the Titanic?,"['Stephanie Sabol', 'Who HQ']",9780515157260,1,0
Whatever After: Bad Hair Day,"['Sarah Mylnowski', '']",1000000000020,1,0
Whatever After: Beauty Queen,"['Sarah Mylnowski', '']",1000000000021,1,0
Whatever After: Cold as Ice,"['Sarah Mylnowski', '']",1000000000022,1,0
Whatever After: Dream On,"['Sarah Mylnowski', '']",1000000000023,1,0
Whatever After: Fairest of All,"['Sarah Mylnowski', '']",1000000000024,1,0
Whatever After: Genie in a Bottle,"['Sarah Mylnowski', '']",1000000000025,1,0
Whatever After: If the Shoe Fits,"['Sarah Mylnowski', '']",1000000000026,1,0
Whatever After: Once upon a Frog,"['Sarah Mylnowski', '']",1000000000027,1,0
Whatever After: Sink or Swim,"['Sarah Mylnowski', '']",1000000000028,1,0
Whatever After: Sugar and Spice,"['Sarah Mylnowski', '']",1000000000029,1,0
When Life Gives You Mangos,"['Kereen Getten', '']",9780593173992,1,0
Who Cut the Cheese?,"['Jo Nesbo', '']",9781442433083,1,0
Who Is Greta Thunberg?,"['Who HQ', 'Jill Leonard']",9780593225677,1,0
Who Is Kamala Harris?,"['Kirsten Anderson', 'Who Hq']",9780593384480,1,0
Wild Born,"['Brandon Mull', '']",9780545522434,1,0
Wild River,"['Rodman Philbrick', '']",9781338647297,1,0
Wings of Fire Book Five: The Brightest Night,"['Tui T. Sutherland', '']",9780545349277,1,0
Wings of Fire: The Dark Secret,"['Tui T. Sutherland', '']",9781338728545,1,0
Wings of Fire: The Hidden Kingdom,"['Tui T. Sutherland', '']",9781407147819,1,0
Wings of Fire: The Lost Heir,"['Tui T. Sutherland', '']",9781407147796,1,0
Wishbone Mysteries: Tale of the Missing Mascot,"['Alexander Steele', '']",1000000000030,1,0
Wonder,"['R. J. Palacio', '']",9780375869020,1,0
